timestamp_utc,mode,portfolio_value_usd,cash_usd
2026-07-25T12:26:20+00:00,PAPER,99579.36,32889.67
2026-07-25T12:31:24+00:00,PAPER,99579.36,32889.67
2026-07-25T12:36:30+00:00,PAPER,99579.36,32889.67
2026-07-25T12:41:08+00:00,PAPER,99579.36,32889.67
2026-07-25T12:45:46+00:00,PAPER,99481.97,32889.67
2026-07-25T12:50:54+00:00,PAPER,99593.05,32889.67
2026-07-25T13:00:56+00:00,PAPER,99600.35,32889.67
2026-07-25T13:05:45+00:00,PAPER,99597.29,32889.67
2026-07-25T13:15:48+00:00,PAPER,99625.28,32889.67
2026-07-25T13:40:45+00:00,PAPER,99638.84,32889.67
2026-07-25T14:20:58+00:00,PAPER,99579.49,32889.67
2026-07-25T14:26:21+00:00,PAPER,99557.55,32889.67
2026-07-25T14:30:48+00:00,PAPER,99566.03,32889.67
2026-07-25T14:57:50+00:00,PAPER,99987.72,32889.67
2026-07-25T15:10:59+00:00,PAPER,100056.23,32889.67
2026-07-25T15:45:46+00:00,PAPER,100682.94,32889.67
2026-07-25T15:50:53+00:00,PAPER,100355.53,32889.67
2026-07-25T15:52:39+00:00,PAPER,100248.72,64697.90
2026-07-25T15:57:04+00:00,PAPER,100211.45,64697.90
2026-07-25T16:00:51+00:00,PAPER,100238.76,64697.90
2026-07-25T16:10:54+00:00,PAPER,100112.83,64697.90
2026-07-25T17:05:50+00:00,PAPER,100286.12,64697.90
2026-07-25T17:32:21+00:00,PAPER,100253.89,64697.90
2026-07-25T17:47:00+00:00,PAPER,100255.55,64697.90
2026-07-25T18:10:46+00:00,PAPER,100224.81,64697.90
2026-07-25T18:40:48+00:00,PAPER,100212.47,68721.45
2026-07-25T19:02:35+00:00,PAPER,100317.06,68721.45
2026-07-25T19:20:51+00:00,PAPER,100296.71,68721.45
2026-07-25T20:20:51+00:00,PAPER,100313.76,68721.45
2026-07-25T20:40:57+00:00,PAPER,100310.83,68721.45
2026-07-25T21:50:54+00:00,PAPER,100357.00,68721.45
2026-07-25T22:20:55+00:00,PAPER,100176.30,68721.45
2026-07-25T22:40:50+00:00,PAPER,100291.33,68721.45
2026-07-25T22:50:48+00:00,PAPER,100193.77,68721.45
2026-07-25T23:56:36+00:00,PAPER,100369.81,68721.45
2026-07-26T00:00:57+00:00,PAPER,100211.15,68721.45
2026-07-26T00:05:43+00:00,PAPER,100172.57,68721.45
2026-07-26T00:16:05+00:00,PAPER,100402.37,68721.45
2026-07-26T00:26:35+00:00,PAPER,100449.43,68721.45
2026-07-26T00:32:32+00:00,PAPER,100403.64,68721.45
2026-07-26T00:47:17+00:00,PAPER,100428.66,68721.45
2026-07-26T01:00:54+00:00,PAPER,100334.15,68721.45
2026-07-26T01:20:52+00:00,PAPER,100320.96,68721.45
2026-07-26T01:35:47+00:00,PAPER,100326.60,68721.45
2026-07-26T01:55:43+00:00,PAPER,100494.80,68721.45
2026-07-26T02:35:51+00:00,PAPER,100452.40,68721.45
2026-07-26T03:01:04+00:00,PAPER,100435.44,68721.45
2026-07-26T03:06:02+00:00,PAPER,100503.28,68721.45
2026-07-26T03:35:24+00:00,PAPER,100292.84,100292.84
2026-07-27T13:35:43+00:00,PAPER,100391.90,66959.52
2026-07-27T13:40:54+00:00,PAPER,100313.56,66959.52
2026-07-27T13:45:51+00:00,PAPER,100261.34,66959.52
2026-07-27T13:50:47+00:00,PAPER,100265.21,66959.52
2026-07-27T13:55:53+00:00,PAPER,100223.63,66959.52
2026-07-27T14:01:04+00:00,PAPER,100139.01,66959.52
2026-07-27T14:05:54+00:00,PAPER,100061.16,66959.52
2026-07-27T14:10:53+00:00,PAPER,100031.18,66959.52
2026-07-27T14:15:48+00:00,PAPER,100005.07,66959.52
2026-07-27T14:20:48+00:00,PAPER,99978.23,66959.52
2026-07-27T14:25:53+00:00,PAPER,99897.73,66959.52
2026-07-27T14:30:58+00:00,PAPER,99804.40,66959.52
2026-07-27T14:35:41+00:00,PAPER,99742.03,66959.52
2026-07-27T14:40:59+00:00,PAPER,99716.88,66959.52
2026-07-27T14:45:57+00:00,PAPER,99716.89,66959.52
